sample_id,rainfall_24h_mm,soil_moisture_pct,slope_deg,ground_movement_mm,elevation_m,curvature,failure_occurred
SMP-00406,31.6,49.8,12.2,2.85,364.0,-0.24,0
SMP-00407,259.7,75.0,20.7,2.86,2945.0,0.19,1
SMP-00408,195.5,34.2,20.2,2.85,2601.0,-0.27,0
SMP-00409,84.9,51.6,50.5,5.71,1355.0,0.12,0
SMP-00410,149.1,93.6,31.8,3.34,532.0,0.08,1
SMP-00411,247.4,38.5,12.2,5.38,1047.0,-0.21,1
SMP-00412,124.4,57.9,15.5,6.27,2372.0,0.06,0
SMP-00413,248.0,74.6,14.7,0.62,2117.0,-0.27,1
SMP-00414,31.2,47.8,49.5,6.92,1671.0,-0.34,0
SMP-00415,66.7,49.1,26.4,5.93,2951.0,-0.4,0
SMP-00416,222.9,61.1,49.8,6.78,2206.0,-0.42,1
SMP-00417,52.2,35.2,44.0,6.69,1515.0,-0.38,0
SMP-00418,148.7,82.3,41.8,6.84,2625.0,-0.42,1
SMP-00419,97.7,64.4,39.9,1.42,476.0,-0.17,0
SMP-00420,186.7,34.0,23.9,5.66,2942.0,-0.08,1
SMP-00421,126.5,69.7,34.2,4.29,2396.0,0.36,1
SMP-00422,249.6,39.2,44.1,5.85,1725.0,-0.46,1
SMP-00423,132.1,88.6,20.3,5.89,2577.0,0.1,1
SMP-00424,137.7,51.2,34.6,0.54,969.0,0.19,0
SMP-00425,41.8,80.0,34.6,4.13,2142.0,-0.05,0
SMP-00426,41.9,56.7,27.1,4.46,1741.0,-0.14,0
SMP-00427,34.9,38.3,24.2,0.31,1863.0,-0.08,0
SMP-00428,109.1,92.6,39.1,1.02,911.0,-0.0,0
SMP-00429,61.7,94.9,36.2,4.19,2165.0,-0.3,0
SMP-00430,82.2,55.8,25.0,5.36,1586.0,-0.33,1
SMP-00431,60.9,93.7,50.0,3.44,2295.0,0.06,1
SMP-00432,71.5,97.4,46.9,6.36,973.0,0.4,1
SMP-00433,222.0,78.7,29.6,4.25,2999.0,0.25,1
SMP-00434,20.6,94.1,36.2,5.02,2467.0,-0.34,0
SMP-00435,15.7,69.6,16.9,9.43,460.0,0.08,1
SMP-00436,26.5,72.3,23.7,5.85,847.0,0.43,1
SMP-00437,25.1,54.2,47.8,9.27,1910.0,0.3,0
SMP-00438,202.5,93.5,25.1,8.57,546.0,-0.37,1
SMP-00439,14.8,50.0,43.2,7.8,2055.0,-0.21,0
SMP-00440,18.3,63.3,17.0,9.06,1449.0,-0.48,0
SMP-00441,90.0,92.5,14.1,1.6,1575.0,-0.3,1
SMP-00442,83.9,86.1,49.5,1.27,2752.0,-0.35,0
SMP-00443,77.2,69.0,20.4,4.21,1071.0,0.33,0
SMP-00444,98.5,46.1,41.5,0.32,2139.0,-0.08,0
SMP-00445,162.2,75.1,17.7,7.45,765.0,0.46,1
SMP-00446,243.2,62.5,42.9,7.85,1589.0,0.43,1
SMP-00447,165.2,62.8,27.9,5.04,1042.0,-0.34,1
SMP-00448,235.3,42.0,38.5,9.02,389.0,-0.24,1
SMP-00449,94.6,66.5,13.1,0.13,2494.0,-0.3,0
SMP-00450,189.5,83.1,29.7,5.72,1023.0,-0.38,1
SMP-00451,202.7,77.7,37.5,7.78,1235.0,0.36,1
SMP-00452,173.9,84.7,33.6,4.64,1698.0,0.38,1
SMP-00453,252.9,89.2,22.6,4.03,2420.0,0.34,1
SMP-00454,39.6,87.9,27.3,4.78,1334.0,0.33,0
SMP-00455,227.7,76.9,17.9,7.81,2905.0,-0.11,1
SMP-00456,140.8,55.8,47.1,8.94,623.0,-0.39,1
SMP-00457,98.6,73.8,14.6,1.53,1300.0,-0.03,0
SMP-00458,224.7,69.8,40.7,1.59,1661.0,-0.28,1
SMP-00459,250.9,35.0,31.5,1.96,949.0,0.28,1
SMP-00460,153.6,33.0,51.7,3.57,2411.0,-0.18,0
SMP-00461,228.7,96.2,35.0,6.37,1875.0,0.28,1
SMP-00462,243.1,73.0,46.7,9.46,2571.0,0.38,1
SMP-00463,41.5,42.2,28.3,1.85,1505.0,-0.14,0
SMP-00464,65.0,66.3,42.7,3.68,1370.0,-0.3,0
SMP-00465,90.9,73.0,22.1,3.64,1248.0,-0.1,0
SMP-00466,223.3,37.7,16.9,4.9,1281.0,-0.05,0
SMP-00467,26.2,55.9,36.8,6.54,2564.0,0.05,0
SMP-00468,104.6,76.2,18.5,0.51,837.0,0.44,0
SMP-00469,28.9,94.2,36.9,2.58,2986.0,-0.36,0
SMP-00470,117.6,30.8,12.4,2.07,436.0,-0.08,0
SMP-00471,10.1,80.0,35.9,1.01,2669.0,0.3,0
SMP-00472,76.7,87.0,17.7,0.62,2609.0,-0.4,0
SMP-00473,184.7,52.3,22.9,9.29,889.0,0.1,1
SMP-00474,43.0,35.4,35.1,3.22,685.0,0.36,0
SMP-00475,14.9,68.3,48.8,5.35,978.0,0.02,0
SMP-00476,240.9,63.2,30.5,5.32,2965.0,0.07,1
SMP-00477,134.8,55.3,45.7,7.85,1153.0,0.45,1
SMP-00478,182.6,93.5,21.2,1.01,1452.0,-0.26,1
SMP-00479,82.0,48.8,36.9,5.54,1105.0,-0.33,0
SMP-00480,246.7,38.6,35.5,8.32,846.0,-0.16,1
SMP-00481,28.2,48.1,13.7,4.85,601.0,-0.15,0
SMP-00482,234.5,72.4,14.3,8.38,507.0,0.3,1
SMP-00483,97.7,83.5,51.5,8.71,2457.0,0.13,1
SMP-00484,175.5,37.5,15.0,5.7,722.0,0.47,0
SMP-00485,96.9,52.0,36.3,2.17,2557.0,-0.16,0
SMP-00486,177.9,52.0,45.6,6.23,731.0,-0.32,1
SMP-00487,161.0,80.7,32.5,0.98,1484.0,-0.22,1
SMP-00488,75.7,73.2,43.3,4.04,1596.0,0.22,0
SMP-00489,189.3,39.3,22.3,1.27,1131.0,-0.16,1
SMP-00490,256.7,31.7,39.9,5.27,1469.0,0.5,1
SMP-00491,102.6,58.2,21.6,8.65,3056.0,-0.38,0
SMP-00492,10.5,53.0,31.7,6.07,1731.0,0.13,0
SMP-00493,236.5,32.7,30.9,0.93,1201.0,-0.4,1
SMP-00494,25.6,38.5,37.5,5.71,317.0,0.24,0
SMP-00495,84.3,97.8,51.1,0.86,2380.0,0.11,1
SMP-00496,180.5,42.7,26.2,8.47,952.0,-0.07,1
SMP-00497,75.4,89.3,43.7,1.03,2044.0,-0.24,0
SMP-00498,201.1,70.5,13.8,6.05,2505.0,-0.42,1
SMP-00499,215.0,78.9,36.5,3.89,1233.0,-0.47,1
SMP-00500,214.7,39.4,40.3,2.1,2784.0,0.13,1
SMP-00501,150.1,69.1,48.7,4.21,2863.0,0.4,1
SMP-00502,203.1,72.0,28.1,2.36,771.0,-0.3,1
SMP-00503,185.9,77.3,24.7,3.86,1782.0,0.01,1
SMP-00504,30.9,70.7,39.1,0.33,638.0,-0.38,0
SMP-00505,29.2,54.1,49.7,4.02,1761.0,-0.28,0
SMP-00506,49.8,85.8,44.9,9.06,1223.0,-0.09,1
SMP-00507,256.9,33.7,32.7,5.36,1710.0,-0.06,1
SMP-00508,121.4,86.6,18.5,9.35,1785.0,0.19,1
SMP-00509,135.6,77.3,33.8,9.03,2364.0,-0.34,1
SMP-00510,146.5,72.7,48.4,8.73,1797.0,-0.35,1
SMP-00511,73.8,82.5,19.0,9.31,3101.0,0.17,1
SMP-00512,238.4,30.5,14.1,7.19,517.0,0.19,1
SMP-00513,10.9,54.6,43.1,6.94,337.0,-0.16,0
SMP-00514,218.5,95.4,33.1,0.25,1017.0,0.31,1
SMP-00515,256.1,86.2,33.1,3.38,1776.0,-0.26,1
SMP-00516,114.1,73.6,51.4,2.26,1302.0,-0.38,1
SMP-00517,250.6,40.1,26.8,6.16,787.0,0.04,1
SMP-00518,254.9,89.9,49.1,1.11,547.0,-0.06,1
SMP-00519,106.8,72.6,38.5,1.79,2768.0,0.35,0
SMP-00520,171.1,91.5,38.0,6.07,637.0,0.13,1
SMP-00521,44.0,42.0,26.8,8.62,1310.0,0.33,0
SMP-00522,161.2,77.2,29.8,9.22,581.0,-0.08,1
SMP-00523,34.3,53.2,22.1,7.7,369.0,-0.49,0
SMP-00524,160.8,85.4,44.4,1.28,1376.0,-0.44,1
SMP-00525,236.8,90.0,46.1,4.23,891.0,0.03,1
SMP-00526,138.1,88.6,37.4,6.92,2777.0,0.16,1
SMP-00527,91.1,52.5,39.4,1.29,1958.0,0.48,0
SMP-00528,131.8,90.2,38.5,5.04,1395.0,-0.25,1
SMP-00529,164.8,87.6,19.1,9.23,538.0,0.29,1
SMP-00530,234.7,71.4,19.5,5.78,1934.0,-0.26,1
SMP-00531,229.8,69.3,32.4,4.48,756.0,0.15,1
SMP-00532,105.7,63.9,14.3,5.8,462.0,-0.16,0
SMP-00533,249.2,36.1,49.3,7.32,1617.0,0.49,1
SMP-00534,245.6,97.8,26.9,0.73,2235.0,-0.06,1
SMP-00535,87.7,58.2,28.5,2.66,1224.0,-0.49,0
SMP-00536,32.3,33.5,36.4,0.98,2774.0,-0.06,0
SMP-00537,100.0,44.9,15.5,6.03,1286.0,0.15,0
SMP-00538,36.5,32.8,47.5,5.02,393.0,0.05,0
SMP-00539,142.6,55.1,27.3,6.46,2709.0,-0.21,0
SMP-00540,86.4,78.6,17.3,7.43,1167.0,0.2,0
SMP-00541,200.0,72.4,29.5,0.8,2046.0,0.26,1
SMP-00542,125.3,71.4,15.1,2.83,1610.0,-0.07,1
SMP-00543,223.7,50.8,44.8,8.8,2271.0,-0.46,1
SMP-00544,22.2,82.6,32.5,2.03,1126.0,0.21,0
SMP-00545,125.2,51.6,22.1,0.73,820.0,-0.28,0
SMP-00546,258.4,42.7,46.7,0.71,1357.0,-0.43,1
SMP-00547,44.6,79.2,45.6,7.59,2268.0,0.31,1
SMP-00548,177.1,85.7,17.5,2.65,2894.0,0.17,0
SMP-00549,109.7,58.6,49.2,5.31,1337.0,0.1,1
SMP-00550,224.0,33.5,35.0,5.99,2384.0,0.29,1
SMP-00551,205.0,40.5,44.3,3.69,2496.0,-0.48,1
SMP-00552,231.8,46.3,48.4,2.19,1563.0,0.05,1
SMP-00553,45.3,78.7,20.0,1.43,577.0,-0.04,0
SMP-00554,24.5,60.7,51.0,3.6,471.0,-0.31,0
SMP-00555,109.7,41.8,24.2,8.21,1847.0,-0.24,1
SMP-00556,246.3,82.9,30.3,3.05,1696.0,0.19,1
SMP-00557,190.6,61.7,42.4,3.22,767.0,0.19,1
SMP-00558,195.2,79.0,35.8,9.27,737.0,0.09,1
SMP-00559,137.2,33.5,46.6,9.49,1010.0,-0.28,1
SMP-00560,233.4,96.4,23.8,5.43,2576.0,-0.03,1
SMP-00561,74.0,85.4,40.2,3.28,2243.0,-0.48,1
SMP-00562,73.6,91.7,42.7,5.27,1045.0,0.24,1
SMP-00563,74.3,76.2,31.7,5.68,642.0,-0.06,1
SMP-00564,20.3,95.3,12.8,1.13,1692.0,-0.24,0
SMP-00565,105.9,42.9,30.4,0.93,2765.0,0.23,0
SMP-00566,176.2,61.0,20.8,1.17,1094.0,0.15,0
SMP-00567,79.0,66.5,16.4,0.85,1761.0,0.33,0
SMP-00568,54.7,43.8,39.0,4.35,1465.0,-0.49,0
SMP-00569,83.9,43.6,35.4,9.32,2694.0,-0.36,0
SMP-00570,242.9,58.5,20.2,7.64,472.0,0.35,1
SMP-00571,225.9,75.8,12.9,1.97,2632.0,0.5,1
SMP-00572,154.9,35.8,28.6,9.18,3158.0,-0.36,1
SMP-00573,250.8,75.8,44.1,1.68,2407.0,0.4,1
SMP-00574,234.3,89.3,39.3,1.64,825.0,-0.28,1
SMP-00575,88.6,86.7,38.4,5.67,1674.0,0.45,0
SMP-00576,108.6,85.1,40.0,5.08,809.0,0.45,1
SMP-00577,123.0,73.7,43.9,2.04,1026.0,-0.25,0
SMP-00578,138.1,48.0,14.5,2.33,453.0,0.41,0
SMP-00579,105.0,62.7,15.0,0.65,2651.0,-0.1,0
SMP-00580,188.8,50.2,24.6,8.24,3101.0,0.39,1
SMP-00581,183.5,90.4,20.8,8.16,1208.0,0.42,1
SMP-00582,227.1,87.3,46.2,7.05,2391.0,-0.48,1
SMP-00583,90.7,70.7,28.3,5.67,2043.0,-0.02,0
SMP-00584,127.7,32.5,20.5,8.27,1236.0,0.1,1
SMP-00585,163.7,77.5,36.8,0.94,2531.0,-0.38,0
SMP-00586,220.4,85.2,48.5,4.47,2143.0,-0.39,1
SMP-00587,23.6,72.1,46.2,1.48,455.0,-0.46,0
SMP-00588,226.0,63.2,45.4,5.51,1357.0,0.39,1
SMP-00589,19.4,46.0,32.3,6.62,2983.0,0.47,0
SMP-00590,78.1,83.5,51.4,8.7,798.0,-0.29,1
SMP-00591,125.5,59.7,33.5,5.26,2100.0,0.42,0
SMP-00592,205.0,58.1,18.5,5.96,1662.0,0.4,1
SMP-00593,43.6,60.9,43.3,0.17,2923.0,-0.06,0
SMP-00594,245.7,86.7,38.9,8.48,1297.0,0.3,1
SMP-00595,121.4,88.5,49.8,8.55,3001.0,0.4,1
SMP-00596,64.6,33.3,24.9,7.8,1033.0,-0.42,0
SMP-00597,219.2,83.4,46.6,0.34,3148.0,0.37,1
SMP-00598,73.7,38.8,20.7,6.23,1604.0,-0.18,0
SMP-00599,207.3,79.0,13.5,7.44,2524.0,0.1,1
SMP-00600,95.3,86.8,16.3,2.85,1201.0,-0.1,0
SMP-00601,176.0,77.4,30.3,8.28,976.0,0.18,1
SMP-00602,164.4,60.1,28.7,0.37,2362.0,-0.31,0
SMP-00603,128.5,76.5,16.0,8.89,2145.0,0.5,1
SMP-00604,251.6,38.3,21.7,0.73,2835.0,-0.25,0
SMP-00605,28.7,60.2,14.7,4.76,1666.0,0.07,0
SMP-00606,115.0,58.2,48.1,5.38,1184.0,-0.08,1
SMP-00607,62.8,35.6,19.4,2.5,857.0,-0.41,0
SMP-00608,255.7,49.7,26.4,2.72,2446.0,0.14,1
SMP-00609,78.0,66.7,41.0,6.82,2239.0,-0.3,1
SMP-00610,59.7,69.6,28.7,9.04,2994.0,0.33,1
SMP-00611,106.6,92.9,50.2,8.13,373.0,0.03,1
SMP-00612,84.0,51.7,32.1,4.7,2208.0,-0.03,0
SMP-00613,35.0,35.5,49.3,6.44,608.0,0.43,0
SMP-00614,167.6,48.9,37.4,2.79,2953.0,-0.06,0
SMP-00615,208.3,41.2,34.5,7.8,423.0,-0.37,1
SMP-00616,174.4,49.2,50.1,5.29,1217.0,0.36,1
SMP-00617,143.8,87.7,46.6,8.47,1878.0,-0.01,1
SMP-00618,169.0,41.9,39.7,1.07,1162.0,-0.08,0
SMP-00619,22.1,54.4,22.1,5.72,1090.0,0.2,0
SMP-00620,84.3,39.9,25.0,1.79,2584.0,0.4,0
SMP-00621,100.7,67.7,19.1,2.81,1856.0,0.0,0
SMP-00622,247.8,93.0,49.2,8.33,845.0,-0.21,1
SMP-00623,40.9,30.6,22.8,7.63,1829.0,-0.41,0
SMP-00624,102.6,53.0,39.9,1.7,3029.0,-0.25,1
SMP-00625,32.0,80.1,24.0,3.11,1423.0,-0.28,0
SMP-00626,227.9,79.6,17.4,6.54,2287.0,-0.27,1
SMP-00627,181.0,55.2,41.6,7.14,2236.0,-0.15,1
SMP-00628,135.3,61.1,51.3,4.45,1238.0,0.37,1
SMP-00629,153.4,88.1,47.1,3.28,391.0,0.45,1
SMP-00630,252.3,57.2,44.0,7.53,3093.0,0.35,1
SMP-00631,145.2,65.6,12.2,8.65,600.0,-0.12,1
SMP-00632,110.1,55.1,27.3,8.38,409.0,0.39,1
SMP-00633,132.6,47.5,28.4,6.18,1385.0,-0.42,0
SMP-00634,241.7,89.5,18.6,7.86,891.0,0.09,1
SMP-00635,73.5,55.9,16.0,4.6,1893.0,0.4,0
SMP-00636,37.4,38.5,12.3,6.35,970.0,0.12,0
SMP-00637,195.3,84.4,42.2,8.84,1592.0,0.07,1
SMP-00638,161.5,44.1,44.5,3.27,1259.0,0.07,1
SMP-00639,131.3,77.7,17.4,5.33,2726.0,-0.38,1
SMP-00640,223.7,66.1,21.4,3.26,1278.0,-0.23,1
SMP-00641,25.4,30.3,33.1,8.62,2881.0,0.06,0
SMP-00642,155.2,40.1,35.5,3.16,1321.0,0.23,0
SMP-00643,204.9,42.8,31.0,0.15,391.0,-0.5,1
SMP-00644,228.1,53.7,25.3,1.39,3159.0,-0.29,1
SMP-00645,119.1,45.2,21.6,4.45,2655.0,0.03,0
SMP-00646,235.8,46.4,40.6,2.63,966.0,0.29,1
SMP-00647,90.4,85.7,33.4,0.53,1606.0,0.47,1
SMP-00648,176.7,66.0,34.5,5.58,2661.0,0.04,1
SMP-00649,47.2,38.5,31.3,0.9,672.0,-0.39,0
SMP-00650,130.5,55.1,34.5,7.71,2779.0,-0.45,1
SMP-00651,24.2,47.6,16.6,7.17,1740.0,-0.41,0
SMP-00652,91.1,61.0,12.2,1.47,2864.0,-0.08,0
SMP-00653,219.7,67.9,20.5,7.11,475.0,-0.42,1
SMP-00654,165.0,46.0,14.7,6.6,2192.0,0.3,1
SMP-00655,101.9,88.2,14.1,7.03,399.0,-0.24,1
SMP-00656,160.0,76.5,12.3,8.75,960.0,0.41,1
SMP-00657,66.9,57.7,50.8,6.75,1112.0,0.25,0
SMP-00658,171.4,93.8,35.6,1.94,2697.0,-0.23,1
SMP-00659,82.2,83.8,20.6,4.71,2065.0,0.08,0
SMP-00660,127.7,38.1,45.9,2.24,2190.0,0.45,1
SMP-00661,36.7,54.0,14.8,5.12,823.0,-0.24,0
SMP-00662,55.8,90.2,26.8,9.18,2913.0,0.27,0
SMP-00663,24.7,48.8,18.0,6.24,2332.0,-0.32,0
SMP-00664,74.6,97.0,48.6,0.39,2304.0,0.08,1
SMP-00665,220.1,89.2,42.2,4.1,1716.0,-0.39,1
SMP-00666,115.4,75.3,30.7,4.22,2433.0,0.25,1
SMP-00667,251.4,62.9,32.7,8.61,1961.0,0.36,1
SMP-00668,62.5,33.0,32.6,1.96,2146.0,0.04,0
SMP-00669,196.2,36.8,27.9,0.55,2953.0,0.26,1
SMP-00670,136.3,47.8,37.1,6.74,2229.0,-0.25,1
SMP-00671,35.5,57.2,37.7,4.42,1996.0,0.06,0
SMP-00672,136.0,93.6,46.1,1.41,1211.0,-0.36,1
SMP-00673,70.6,70.6,29.2,5.41,743.0,0.34,1
SMP-00674,190.8,70.1,33.0,4.16,1225.0,0.33,1
SMP-00675,211.1,71.2,34.3,4.19,1213.0,-0.47,1
SMP-00676,181.7,66.1,24.5,5.89,1713.0,-0.1,1
SMP-00677,176.5,40.9,42.4,9.26,469.0,0.28,1
SMP-00678,82.9,63.7,27.0,1.83,2021.0,-0.37,0
SMP-00679,17.2,57.0,37.5,7.86,2779.0,0.38,0
SMP-00680,255.6,46.4,33.1,5.31,1873.0,0.45,1
SMP-00681,234.1,80.1,46.8,8.47,3123.0,-0.38,1
SMP-00682,45.5,78.7,13.4,0.97,3142.0,0.08,0
SMP-00683,60.9,76.4,48.9,1.94,3099.0,-0.13,0
SMP-00684,177.8,36.3,27.9,1.17,2182.0,0.21,0
SMP-00685,203.9,44.1,38.0,4.8,3182.0,-0.07,1
SMP-00686,149.3,46.1,46.6,7.33,838.0,-0.26,1
SMP-00687,234.0,77.5,39.0,3.95,2110.0,0.25,1
SMP-00688,122.0,39.6,23.7,6.32,1084.0,0.36,0
SMP-00689,48.9,76.5,33.9,0.53,1026.0,-0.23,0
SMP-00690,87.6,84.5,47.8,4.71,1603.0,0.43,1
SMP-00691,246.3,31.3,38.0,1.06,1924.0,-0.08,1
SMP-00692,169.2,40.3,40.2,3.24,2066.0,-0.29,0
SMP-00693,37.1,46.4,34.4,6.24,2579.0,0.06,0
SMP-00694,133.2,55.9,34.8,6.29,1164.0,0.23,1
SMP-00695,181.6,43.1,50.6,8.45,351.0,0.31,1
SMP-00696,129.6,94.9,25.2,4.42,888.0,-0.28,1
SMP-00697,254.7,80.3,48.8,8.71,3142.0,0.23,1
SMP-00698,51.3,56.4,49.1,5.28,2468.0,0.04,1
SMP-00699,91.4,53.8,23.8,0.72,783.0,-0.22,0
SMP-00700,65.7,43.1,24.8,2.35,3104.0,0.28,0
SMP-00701,152.9,35.9,20.4,9.28,2772.0,-0.2,1
SMP-00702,247.0,97.2,31.5,6.79,459.0,-0.42,1
SMP-00703,124.7,54.3,48.6,8.6,2282.0,-0.48,1
SMP-00704,231.9,72.7,43.5,5.32,1171.0,-0.28,1
SMP-00705,114.8,50.3,49.6,4.72,1488.0,0.16,1
SMP-00706,217.4,39.3,18.4,8.38,2944.0,0.05,1
SMP-00707,154.0,45.5,34.4,3.13,2155.0,0.1,0
SMP-00708,247.0,35.7,41.7,5.47,2714.0,-0.34,1
SMP-00709,75.5,88.0,33.1,3.82,2129.0,-0.11,0
SMP-00710,226.1,91.8,28.7,7.6,2356.0,-0.04,1
SMP-00711,141.7,64.7,33.2,5.7,770.0,-0.27,1
SMP-00712,219.8,41.2,20.1,1.09,2892.0,-0.39,1
SMP-00713,72.5,91.6,39.5,2.34,1510.0,0.27,1
SMP-00714,174.5,35.1,20.9,2.92,2191.0,-0.25,0
SMP-00715,49.9,47.4,34.8,5.82,305.0,-0.43,0
SMP-00716,26.4,96.1,51.3,6.43,2820.0,-0.39,1
SMP-00717,192.7,48.7,46.7,1.34,2557.0,0.26,1
SMP-00718,48.5,52.9,52.0,5.89,2297.0,-0.28,0
SMP-00719,170.1,65.3,50.5,7.41,3156.0,-0.35,1
SMP-00720,79.0,35.1,43.5,8.17,2702.0,-0.04,0
SMP-00721,148.3,34.1,30.9,3.39,1681.0,-0.34,0
SMP-00722,202.4,95.0,28.7,8.89,573.0,0.26,1
SMP-00723,173.4,66.5,43.9,6.48,1920.0,0.48,1
SMP-00724,138.9,82.1,40.4,4.92,1254.0,-0.42,1
SMP-00725,43.0,80.7,43.7,0.13,972.0,0.19,0
SMP-00726,222.8,91.1,30.9,3.63,1345.0,0.02,1
SMP-00727,101.3,40.6,12.4,8.32,2707.0,-0.01,0
SMP-00728,67.6,95.5,12.5,2.46,918.0,0.39,0
SMP-00729,118.4,31.1,46.7,0.5,1223.0,0.1,0
SMP-00730,15.7,85.6,45.3,8.04,2275.0,0.44,1
SMP-00731,188.7,58.2,19.0,3.3,876.0,-0.2,1
SMP-00732,143.9,65.4,34.1,5.43,1946.0,0.17,1
SMP-00733,13.3,84.2,38.9,1.13,2346.0,0.36,0
SMP-00734,202.9,61.8,42.6,2.78,410.0,-0.41,1
SMP-00735,55.9,55.8,26.9,8.31,2942.0,0.13,0
SMP-00736,154.0,54.3,48.3,1.27,1641.0,-0.35,0
SMP-00737,241.7,32.5,23.6,0.59,896.0,0.22,1
SMP-00738,74.6,64.5,15.5,6.25,1334.0,0.28,0
SMP-00739,181.2,60.2,21.9,7.37,3150.0,-0.32,1
SMP-00740,38.5,47.9,26.5,0.83,473.0,0.23,0
SMP-00741,135.7,48.7,40.7,3.37,2320.0,0.19,0
SMP-00742,21.6,71.0,33.9,7.01,890.0,-0.37,1
SMP-00743,217.1,50.5,46.0,5.46,1875.0,-0.33,1
SMP-00744,15.8,83.9,27.1,6.24,2088.0,0.26,0
SMP-00745,41.7,63.6,16.6,1.88,1302.0,0.35,0
SMP-00746,187.7,72.9,23.2,8.66,1552.0,-0.34,1
SMP-00747,15.7,44.7,37.9,0.96,1133.0,-0.09,0
SMP-00748,53.4,91.6,39.4,7.39,2143.0,-0.47,1
SMP-00749,56.2,80.5,46.5,1.37,2736.0,-0.41,0
SMP-00750,217.6,58.2,39.3,4.62,1183.0,-0.41,1
SMP-00751,138.6,47.5,19.1,7.04,806.0,0.23,1
SMP-00752,249.5,91.6,46.1,9.09,2123.0,-0.46,1
SMP-00753,201.3,45.2,41.1,0.51,1212.0,-0.21,0
SMP-00754,135.1,41.8,21.1,4.21,2429.0,0.43,0
SMP-00755,26.9,49.8,39.9,0.5,555.0,0.41,0
SMP-00756,189.1,64.7,45.6,4.94,685.0,-0.45,1
SMP-00757,258.8,42.7,51.7,9.42,792.0,-0.29,1
SMP-00758,230.0,78.1,32.8,8.53,2774.0,-0.33,1
SMP-00759,210.8,48.6,16.8,6.37,1182.0,-0.47,0
SMP-00760,32.8,73.6,36.4,5.57,327.0,-0.15,0
SMP-00761,160.8,34.7,28.6,4.0,873.0,-0.04,0
SMP-00762,111.4,85.3,21.4,2.54,3006.0,-0.27,0
SMP-00763,134.3,72.7,24.1,1.24,1236.0,0.18,0
SMP-00764,13.4,30.0,18.9,8.3,980.0,-0.11,0
SMP-00765,86.1,81.0,33.9,1.07,2803.0,0.09,0
SMP-00766,137.2,53.4,47.7,4.76,819.0,-0.22,1
SMP-00767,34.2,91.2,42.9,7.61,1306.0,-0.03,1
SMP-00768,30.3,38.1,31.4,4.73,1168.0,-0.38,0
SMP-00769,242.1,56.5,18.2,1.19,2397.0,0.35,0
SMP-00770,255.5,53.1,14.9,5.2,1170.0,0.42,1
SMP-00771,243.4,55.2,45.4,2.01,563.0,-0.35,1
SMP-00772,253.4,46.6,15.8,8.55,1401.0,0.27,1
SMP-00773,127.2,93.1,46.6,7.55,3048.0,-0.49,1
SMP-00774,221.8,66.1,26.1,5.37,1251.0,0.17,1
SMP-00775,12.7,87.2,41.5,4.99,1525.0,-0.39,1
SMP-00776,170.7,67.7,23.1,3.08,676.0,0.01,1
SMP-00777,240.0,77.3,39.3,8.27,469.0,0.19,1
SMP-00778,56.2,64.5,16.3,4.37,839.0,0.18,0
SMP-00779,106.9,34.9,30.8,0.19,1694.0,0.31,0
SMP-00780,109.6,38.1,47.3,7.96,2162.0,-0.19,0
SMP-00781,126.5,62.5,27.4,2.93,1351.0,0.5,0
SMP-00782,220.0,58.4,17.5,3.67,2893.0,0.38,1
SMP-00783,57.2,89.6,13.8,3.08,1842.0,0.09,0
SMP-00784,114.2,45.3,28.9,7.85,3178.0,0.1,0
SMP-00785,171.7,47.0,42.4,2.96,2747.0,-0.27,1
SMP-00786,204.0,54.4,22.2,4.09,1457.0,-0.47,1
SMP-00787,144.2,36.7,36.5,0.6,3028.0,0.47,0
SMP-00788,181.9,62.3,26.5,1.88,3065.0,-0.42,0
SMP-00789,150.8,81.0,20.5,7.53,3165.0,-0.49,1
SMP-00790,45.1,51.3,34.0,3.65,1103.0,-0.24,0
SMP-00791,215.9,62.0,12.6,5.73,2506.0,-0.11,1
SMP-00792,180.9,59.5,41.6,0.16,1437.0,-0.08,1
SMP-00793,23.7,69.4,32.1,7.08,1497.0,0.19,0
SMP-00794,110.6,90.8,35.3,6.05,468.0,0.37,1
SMP-00795,244.4,30.0,16.2,6.98,1300.0,-0.05,1
SMP-00796,145.2,59.3,47.6,6.24,305.0,-0.06,1
SMP-00797,205.8,64.4,22.6,6.89,1045.0,-0.35,1
SMP-00798,172.5,44.5,39.6,4.17,2340.0,0.45,1
SMP-00799,167.1,89.1,24.6,9.35,1881.0,-0.1,1
SMP-00800,154.5,35.8,24.6,3.65,599.0,0.44,0
SMP-00801,10.2,31.4,36.5,6.13,2918.0,0.32,0
SMP-00802,132.4,33.6,26.2,1.25,892.0,0.01,0
SMP-00803,180.1,52.4,26.8,6.97,2271.0,-0.19,1
SMP-00804,112.7,82.2,28.8,1.53,2662.0,0.02,1
SMP-00805,49.5,50.1,20.3,6.9,1063.0,0.05,0
SMP-00806,122.0,48.3,27.0,3.41,371.0,-0.31,0
SMP-00807,187.6,39.4,39.1,8.79,457.0,-0.15,1
SMP-00808,220.4,30.3,16.6,3.54,605.0,-0.22,1
SMP-00809,95.9,56.1,29.7,4.34,1256.0,-0.1,0
SMP-00810,24.8,39.7,42.7,2.14,471.0,0.29,0
SMP-00811,83.8,46.1,18.0,6.24,918.0,-0.4,0
